trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.1, 'e': 0.2531472110554577}",20,3,-46.821148767643045,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 0}",1
69,False,"{'a': 0.1, 'e': 0.2480842668343485}",20,3,-0.7432421861558645,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.1, 'e': 0.24312258149766153}",20,0,-35.21899380947345,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
71,False,"{'a': 0.1, 'e': 0.2382601298677083}",20,0,9.24651912072912,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.1, 'e': 0.23349492727035415}",30,18,-1.424723889530053,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.1, 'e': 0.22882502872494703}",25,0,-62.21363236602728,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.1, 'e': 0.2242485281504481}",20,0,30.379410323667532,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.1, 'e': 0.21976355758743912}",20,1,16.17216266422252,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.1, 'e': 0.21536828643569034}",20,1,4.891027033059748,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
77,False,"{'a': 0.1, 'e': 0.21106092070697655}",20,5,14.023333677195726,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.1, 'e': 0.206839702292837}",20,0,18.325511229784418,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
79,False,"{'a': 0.1, 'e': 0.20270290824698026}",20,11,13.10883569110144,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.1, 'e': 0.19864885008204064}",35,18,7.536911634221289,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.1, 'e': 0.19467587308039982}",20,0,20.10451095929125,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.1, 'e': 0.19078235561879184}",20,0,3.485429865430051,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
83,False,"{'a': 0.1, 'e': 0.186966708506416}",20,7,-10.410487045585548,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
84,False,"{'a': 0.1, 'e': 0.18322737433628766}",25,8,-5.86044070285867,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
85,False,"{'a': 0.1, 'e': 0.1795628268495619}",20,13,13.47150679625105,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.1, 'e': 0.17597157031257069}",20,0,24.885921235990555,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.1, 'e': 0.17245213890631925}",25,12,20.10500211743968,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.1, 'e': 0.16900309612819286}",25,11,19.503900172895655,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.1, 'e': 0.16562303420562902}",25,1,16.088398165361987,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.1, 'e': 0.16231057352151643}",25,0,-7.885302723045643,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
91,False,"{'a': 0.1, 'e': 0.1590643620510861}",20,8,16.12244221796355,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.1, 'e': 0.15588307481006436}",25,13,12.224836073973794,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
